Hora,MAE,RMSE,R2,sMAPE
0,27.573668465126204,66.06885744338638,0.868826417018219,23.646639534143176
1,16.737691058146215,45.487603743385066,0.8722944376876349,25.82810047957988
2,22.602905113112804,75.95148917755937,0.6679610270747576,32.316099140137034
3,8.906401300449101,30.44542101881261,0.766458461815169,27.82796442904495
4,8.517828046122565,30.67152043338291,0.7688548322827289,24.86389236981896
5,12.092286548124788,39.75544468744369,0.9050154493060888,18.59182203957677
6,20.48722768532964,51.4548898259167,0.9625803323750522,14.681465959589518
7,52.46687247529099,101.71793418809554,0.9767035210341164,13.18809886755156
8,109.70964114404418,187.38518151789305,0.932766957651535,20.93650413049316
9,59.33895676480147,110.49559248146868,0.9661253646806268,14.834854278730589
10,59.41613013850112,119.8545164191769,0.9448534055258092,15.392988144683487
11,60.59513043419228,116.04574417674884,0.9537934414513216,13.658931440498852
12,57.16560701433482,109.52426123549412,0.9632542632126788,12.395368974426116
13,55.87118676280931,104.1866034573648,0.9726009208211496,11.18966536915979
14,49.08265921614073,86.8028591394118,0.9831668556964868,10.036131783330616
15,49.9323548045101,95.84327348638516,0.976976566618605,10.891667669131346
16,55.26201469738461,97.41389259383152,0.9737171872111654,12.057672769722789
17,54.12922863452202,95.02152976951348,0.9800700771054326,10.607999156873555
18,48.9584649204038,91.02613849313155,0.9822269502866507,9.912628534496488
19,48.2420279431127,89.00672312016505,0.9803412846877264,10.095452971128692
20,56.119965108078624,102.882730152725,0.9663127832975876,12.270083492088698
21,50.92581111728154,100.7574152508009,0.9428551239416773,14.64767708945949
22,37.10554438781384,75.38454984428638,0.92543581424677,16.83986026285889
23,43.94328201867162,84.13418556688394,0.836251603324827,26.209929447072096
