hex_id,h3,population,centroid_lon,centroid_lat,need_sports,need_health,weight_sports,weight_health
57,8839540aa1fffff,7180.0,-0.39344656667172595,39.430781539954594,True,True,7180.0,7180.0
58,8839540a9dfffff,11955.0,-0.36709813143565106,39.45666272142173,False,False,0.0,0.0
59,8839540a9bfffff,8726.0,-0.3503451971315571,39.46157537770607,False,False,0.0,0.0
60,8839540a99fffff,8623.0,-0.3605092206697406,39.463130851756574,False,False,0.0,0.0
61,8839540a97fffff,3811.0,-0.3533600558170785,39.44708542394669,True,True,3811.0,3811.0
62,8839540a95fffff,5228.0,-0.3635224443406486,39.44863993748796,True,True,5228.0,5228.0
63,8839540a93fffff,3790.0,-0.34677171956702924,39.453552733918514,True,True,3790.0,3790.0
64,8839540a91fffff,4707.0,-0.35693418094274887,39.45510809075941,False,False,0.0,0.0
65,8839540a8dfffff,9018.0,-0.394018540322953,39.453299119122896,True,False,9018.0,0.0
66,8839540a8bfffff,10289.0,-0.37726357073324174,39.45821662551035,False,False,0.0,0.0
67,8839540a89fffff,12079.0,-0.3874304985225337,39.45976980263012,True,False,12079.0,0.0
68,8839540a87fffff,5478.0,-0.3802737907309485,39.44372386215428,True,True,5478.0,5478.0
69,8839540a85fffff,9184.0,-0.39043908198357724,39.445276079451546,False,False,0.0,0.0
70,8839540a83fffff,9352.0,-0.37368632147469905,39.45019372479443,False,False,0.0,0.0
71,8839540a81fffff,10600.0,-0.38385168690653265,39.45174678547109,True,False,10600.0,0.0
72,8839540a13fffff,5149.0,-0.41794020970389645,39.46442496822525,True,True,5149.0,5149.0
73,88395408dbfffff,4624.0,-0.3426431648174688,39.4230179927031,True,True,4624.0,4624.0
74,88395408d9fffff,4544.0,-0.35280086975722186,39.424572153380225,True,True,4544.0,4544.0
75,88395408c9fffff,4933.0,-0.3797061986985447,39.42120752607887,True,True,4933.0,4933.0
76,883954085bfffff,4273.0,-0.4137783370437806,39.43388187403595,True,True,4273.0,4273.0
77,8839540853fffff,5995.0,-0.4101969400802934,39.42585876831085,True,True,5995.0,5995.0
78,88395401edfffff,12496.0,-0.3748185320581981,39.49522282941093,False,False,0.0,0.0
79,88395401ebfffff,2602.0,-0.3580559599044337,39.50013321469524,False,True,0.0,2602.0
80,88395401e9fffff,4375.0,-0.3682263094755176,39.5016899988543,True,True,4375.0,4375.0
81,88395401e7fffff,13475.0,-0.3610711183398308,39.485643871588735,True,False,13475.0,0.0
82,88395401e5fffff,11246.0,-0.3712398306919403,39.48719969576559,False,False,0.0,0.0
83,88395401e3fffff,4136.0,-0.35447947032858423,39.492110221163564,True,True,4136.0,4136.0
84,88395401e1fffff,5769.0,-0.36464825599224215,39.4936668890265,False,False,0.0,0.0
85,88395401ddfffff,714.0,-0.3382747438742383,39.51952698335902,True,True,714.0,714.0
86,88395401d7fffff,1366.0,-0.32453268859987544,39.509944137001256,True,True,1366.0,1366.0
87,88395401d5fffff,1683.0,-0.33470020007571555,39.5115040630271,True,True,1683.0,1683.0
88,88395401d3fffff,291.0,-0.31793808508321064,39.51640617064961,True,True,291.0,291.0
89,88395401d1fffff,1131.0,-0.32810566810616426,39.517966940432174,True,True,1131.0,1131.0
90,88395401cdfffff,4004.0,-0.3652116866793653,39.51617947804441,True,True,4004.0,4004.0
91,88395401c7fffff,961.0,-0.3514629424846626,39.506598672492785,True,True,961.0,961.0
92,88395401c5fffff,7581.0,-0.36163336524673334,39.50815630045856,True,True,7581.0,7581.0
93,88395401c3fffff,1203.0,-0.3448692037891645,39.51306326214028,True,True,1203.0,1203.0
94,88395401c1fffff,3262.0,-0.35503969942794966,39.51462173394475,True,True,3262.0,3262.0
95,88395401bdfffff,11019.0,-0.3305739237800512,39.480972037804904,True,False,11019.0,0.0
96,88395401b9fffff,6423.0,-0.32398205887793996,39.4874358566608,True,True,6423.0,6423.0
97,88395401b5fffff,10809.0,-0.3270023904437912,39.472949464575294,False,False,0.0,0.0
98,88395401b1fffff,632.0,-0.3204111741327994,39.47941330744455,True,True,632.0,632.0
99,88395401adfffff,7664.0,-0.35749489619460734,39.47762094695007,False,False,0.0,0.0
100,88395401abfffff,5732.0,-0.34073816457150113,39.48253004221279,True,True,5732.0,5732.0
101,88395401a9fffff,3582.0,-0.35090389619548645,39.48408732027259,False,False,0.0,0.0
102,88395401a7fffff,12704.0,-0.34375549296321173,39.468041798048596,False,False,0.0,0.0
103,88395401a5fffff,11934.0,-0.3539195892329869,39.46959811551953,False,False,0.0,0.0
104,88395401a3fffff,9372.0,-0.33716506849394196,39.474507351507874,False,False,0.0,0.0
105,88395401a1fffff,8310.0,-0.3473292371815085,39.47606451243131,True,False,8310.0,0.0
